timestamp,price,volume,market_cap
2024-12-01 16:18:57.986,97270.41742463625,45803562370.80931,1926013351178.6536
2024-12-01 17:00:42.253,97189.56420320657,44239084593.243645,1924516009053.2446
2024-12-01 18:05:34.390,97365.59444539624,45729303332.31736,1926615078158.4045
2024-12-01 19:17:52.924,97263.83812097862,41827920944.45026,1925810014717.467
2024-12-01 20:17:58.472,97000.42842281252,48168324923.611755,1918197467323.4238
2024-12-01 21:02:44.237,97150.57786301634,45839454228.10686,1922635364468.2668
2024-12-01 22:06:47.189,97837.54244122059,49202947916.741875,1935744107511.8853
2024-12-01 23:07:25.109,97755.07541514019,51228578377.17707,1931837204996.0322
2024-12-02 00:03:59.590,97236.36305090637,51259030320.51727,1924596637053.6064
2024-12-02 01:06:12.422,97557.01333182376,51914429312.928856,1929919757040.986
2024-12-02 02:09:49.091,97921.26065528078,55882620783.60523,1940258520757.94
2024-12-02 03:18:08.006,97598.79449106254,52112483030.065506,1929621117758.2385
2024-12-02 04:02:58.916,96464.44252221848,55546132837.258125,1911649376304.0776
2024-12-02 05:02:55.753,96756.32858096625,58995822978.99039,1913517817503.6008
2024-12-02 06:13:14.208,96216.55939670413,57239388772.73068,1906675604781.826
2024-12-02 07:04:10.211,96353.93251880011,60251165237.944954,1906685656556.629
2024-12-02 08:05:30.331,96003.50480472743,43174412071.75297,1900622770870.0115
2024-12-02 09:09:46.275,95033.54125142765,64661846072.814156,1883026374453.4373
2024-12-02 10:08:26.305,95258.52690171727,69571372509.03638,1887653973447.8186
2024-12-02 11:08:56.403,95015.53517311942,71784742610.56403,1881355781985.6099
2024-12-02 12:09:18.706,95105.9103913035,71243410925.24158,1883355068274.3176
2024-12-02 13:05:38.405,94983.1184922097,73547372487.63733,1878659681954.9246
2024-12-02 14:14:13.207,95752.15673527643,76427940182.31258,1895801240342.974
2024-12-02 15:16:27.972,96640.36378149671,81420881972.04668,1909201358102.5605
2024-12-02 16:14:09.035,97338.64014986507,84568232199.80394,1926497470988.2546
2024-12-02 17:07:58.851,96506.95476231267,88874640535.5854,1910004074756.8484
2024-12-02 18:21:32.779,95577.83844022479,60970379253.36645,1888815638701.229
2024-12-02 19:13:23.127,95443.08501561117,93381564102.60396,1890097468932.146
2024-12-02 20:14:16.128,96092.96869834872,98493594779.78044,1900794855696.9424
2024-12-02 21:18:49.444,95423.75070304835,99614235903.1752,1891103695308.0825
2024-12-02 22:09:29.904,95472.40097562649,95785511859.13556,1889159238584.4534
2024-12-02 23:07:52.696,95609.08860975849,101294705480.15642,1888895317799.0928
2024-12-03 00:08:19.834,95771.7775765992,101654265575.32162,1897445930701.5403
2024-12-03 01:03:16.768,95822.44378656257,69450915977.03766,1896924126871.1814
2024-12-03 02:08:26.328,95437.47317669269,99675189960.59944,1888678959801.388
2024-12-03 03:14:48.049,96021.76284501492,97878148792.7723,1900843902538.5515
2024-12-03 04:10:10.824,96038.90237882962,97497410339.48524,1900075056692.6626
2024-12-03 05:09:35.557,95975.76179116774,95164669898.86192,1899414364417.7292
2024-12-03 06:11:58.771,96182.97659291401,92943946224.42836,1903058629345.78
2024-12-03 07:10:43.131,95506.0814735822,94371634693.2584,1893112201703.9788
2024-12-03 08:46:59.084,95384.53241205157,90802304682.2819,1889152169423.918
2024-12-03 09:23:52.346,95296.73817137364,89809572169.95482,1887814813535.138
2024-12-03 10:04:30.715,95253.15901691148,81208860169.38052,1885173110330.3008
2024-12-03 11:02:17.544,94725.2456544063,88482180487.54283,1879252121378.5664
2024-12-03 12:04:52.653,95014.00157299479,86658393115.31503,1879734368120.1672
2024-12-03 13:04:36.088,94885.53497008028,87647652883.00475,1877838632041.7517
2024-12-03 14:04:50.568,93696.5978439618,86587459335.59602,1857448707848.9973
2024-12-03 15:04:59.067,95274.85800912892,67866852300.66567,1884675393190.8435
2024-12-03 16:07:47.072,95795.02218556103,93686055041.72949,1895346827442.2305
2024-12-03 17:07:22.199,95194.30198444356,93669161367.08195,1880953641788.238
2024-12-03 18:14:42.734,95727.81032300639,85767333873.8721,1896424600698.21
2024-12-03 19:09:47.029,95357.57748495684,85610872769.74477,1887256846368.1755
2024-12-03 20:09:05.380,95358.3280631854,87680580307.31375,1887023804786.4558
2024-12-03 21:02:22.000,95674.96445986646,88582275451.18451,1893396013831.1824
2024-12-03 22:06:02.718,95831.265023953,90553900577.21167,1897134095992.2263
2024-12-03 23:00:25.321,95986.56802975493,90338915674.30215,1899122182731.5605
2024-12-04 00:09:09.732,95982.21323900338,90109091063.62476,1899416059102.2168
2024-12-04 01:05:00.021,95784.82682188877,86426266648.42354,1894260677496.6477
2024-12-04 02:05:51.884,96282.18074787548,85918309234.75316,1905810170029.7952
2024-12-04 03:04:56.738,95873.78594791057,81097248143.83104,1897396680219.5686
2024-12-04 04:04:51.668,95811.44403940799,87509893051.27917,1896041399346.6807
2024-12-04 05:05:16.941,95972.8355028198,87637814676.04324,1898741073866.5312
2024-12-04 06:01:23.490,96548.93281178985,92870965311.12456,1910833176678.9985
2024-12-04 07:04:35.146,96593.13716557594,93039178160.08812,1910614843420.6719
2024-12-04 08:09:46.768,96766.48910557115,92086512167.1862,1914521077601.2158
2024-12-04 09:01:32.356,96790.9119715239,63828911654.88619,1915163778248.47
2024-12-04 10:16:13.376,96818.903875925,92338297798.5199,1916005498330.8655
2024-12-04 11:00:03.303,96507.04415858182,85899132249.19897,1910226283642.131
2024-12-04 12:03:34.307,96282.08107391196,81558365226.23225,1905055972893.8828
2024-12-04 13:00:35.561,96007.00987674274,58884573213.374214,1900779000641.1199
2024-12-04 14:03:37.581,95777.33103218696,83834184090.4668,1893228109152.6948
2024-12-04 15:03:25.210,95979.13988126339,84749595820.97101,1903874598422.12
2024-12-04 16:01:49.661,95806.84652097199,80338316335.28635,1896402106705.8342
2024-12-04 17:03:26.729,94890.05289847856,48560148371.54359,1879892408746.3564
2024-12-04 18:03:35.318,95624.19362973724,83033000342.37825,1891446710399.2185
2024-12-04 19:03:25.870,96280.93206312109,61289273134.17863,1905613753166.0886
2024-12-04 20:03:42.253,97406.80160998485,89102860248.40623,1927406093157.362
2024-12-04 21:03:26.845,98945.16291617283,96717933386.71385,1958446642995.3135
2024-12-04 22:03:29.095,97894.62591077255,99781790956.77457,1939308060035.1316
2024-12-04 23:03:00.202,98380.45507703637,76887864461.50417,1946371666762.6238
2024-12-05 00:00:35.557,98881.4694561823,98230784298.0459,1957276192604.2603
2024-12-05 01:03:22.566,98435.43735724507,99404417866.87567,1947658342055.2268
2024-12-05 02:00:34.798,98238.84818403497,105978374629.46577,1945367802625.759
2024-12-05 03:03:33.416,101421.83483164513,117293432436.09354,2007420781787.1875
2024-12-05 04:03:00.390,102993.59097558935,139498691586.4643,2041240793831.0242
2024-12-05 05:01:07.457,103425.4428685291,104315505213.62268,2044255955842.435
2024-12-05 06:03:19.756,102640.1318038796,153172449248.4336,2022559780067.8782
2024-12-05 07:03:19.494,101954.7152753914,151514023808.89273,2018304821152.4182
